I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;End_Account_Balance;End_Account_Equity;Total P&L;NoTrades;NoWinTrades;MaxDrawdown;TotalTradeProfit
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10002.46780000;10002.46780000;0.00000000;18;6;142.0408;2.4678
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10025.31020000;10025.31020000;0.00000000;21;7;137.8029;25.3102
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10116.41000000;10116.41000000;0.00000000;24;9;159.4574;116.4100
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10073.68880000;10073.68880000;0.00000000;25;9;156.9335;73.6888
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10025.09948000;10025.09948000;0.00000000;25;8;195.7846;25.0995
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10127.61916000;10127.61916000;0.00000000;28;11;119.2606;127.6192
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10115.68296000;10115.68296000;0.00000000;29;10;121.5466;115.6830
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10234.75376000;10234.75376000;0.00000000;27;12;61.0500;234.7538
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10321.79940000;10321.79940000;0.00000000;26;13;62.5900;321.7994
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10205.54836000;10205.54836000;0.00000000;25;11;104.6668;205.5484
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;10082.66004000;10082.66004000;0.00000000;19;7;123.5089;82.6600
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9955.22984000;9955.22984000;0.00000000;15;4;163.6374;-44.7702
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9951.53080000;9951.53080000;0.00000000;12;3;141.2100;-48.4692
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9980.47000000;9980.47000000;0.00000000;11;3;121.0100;-19.5300
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9953.87000000;9953.87000000;0.00000000;10;2;121.7800;-46.1300
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;2.500000;60;0.001000;7;20;1;9919.68000000;9919.68000000;0.00000000;8;1;97.4000;-80.3200
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9950.70768000;9950.70768000;0.00000000;9;3;106.7368;-49.2923
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10002.77936000;10002.77936000;0.00000000;11;4;118.5968;2.7794
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10051.82292000;10051.82292000;0.00000000;12;5;97.2533;51.8229
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9995.36504000;9995.36504000;0.00000000;16;5;142.5293;-4.6350
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10065.84828000;10065.84828000;0.00000000;20;7;118.8029;65.8483
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10092.75896000;10092.75896000;0.00000000;23;8;159.4574;92.7590
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10059.05960000;10059.05960000;0.00000000;25;8;175.5235;59.0596
20200505;5;20.0000;LowOrHighOfLast2Candles;-20;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10061.53212000;10061.53212000;0.00000000;25;8;195.7846;61.5321
20200505;5;20.0000;LowOrHighOfLast2Candles;-10;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10119.65452000;10119.65452000;0.00000000;28;10;177.9606;119.6545
20200505;5;20.0000;LowOrHighOfLast2Candles;0;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10112.40384000;10112.40384000;0.00000000;29;9;196.9466;112.4038
20200505;5;20.0000;LowOrHighOfLast2Candles;10;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10221.77376000;10221.77376000;0.00000000;27;11;142.9550;221.7738
20200505;5;20.0000;LowOrHighOfLast2Candles;20;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10264.07308000;10264.07308000;0.00000000;25;11;60.6600;264.0731
20200505;5;20.0000;LowOrHighOfLast2Candles;30;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10235.18748000;10235.18748000;0.00000000;24;10;78.5600;235.1875
20200505;5;20.0000;LowOrHighOfLast2Candles;40;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10100.22004000;10100.22004000;0.00000000;19;7;113.6189;100.2200
20200505;5;20.0000;LowOrHighOfLast2Candles;50;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9984.10984000;9984.10984000;0.00000000;15;4;163.6374;-15.8902
20200505;5;20.0000;LowOrHighOfLast2Candles;60;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9887.20080000;9887.20080000;0.00000000;12;2;181.2492;-112.7992
20200505;5;20.0000;LowOrHighOfLast2Candles;70;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;10000.03000000;10000.03000000;0.00000000;11;3;121.0100;0.0300
20200505;5;20.0000;LowOrHighOfLast2Candles;80;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9973.34000000;9973.34000000;0.00000000;10;2;121.7800;-26.6600
20200505;5;20.0000;LowOrHighOfLast2Candles;90;1.0000;0.000300;0.500000;3.000000;60;0.001000;7;20;1;9929.48000000;9929.48000000;0.00000000;8;1;97.4000;-70.5200
20200505;5;20.0000;LowOrHighOfLast2Candles;-90;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;9959.97768000;9959.97768000;0.00000000;9;3;106.7368;-40.0223
20200505;5;20.0000;LowOrHighOfLast2Candles;-80;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10022.20936000;10022.20936000;0.00000000;11;4;118.5968;22.2094
20200505;5;20.0000;LowOrHighOfLast2Candles;-70;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10060.52380000;10060.52380000;0.00000000;13;5;97.2533;60.5238
20200505;5;20.0000;LowOrHighOfLast2Candles;-60;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10023.80504000;10023.80504000;0.00000000;16;5;142.5293;23.8050
20200505;5;20.0000;LowOrHighOfLast2Candles;-50;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10032.42560000;10032.42560000;0.00000000;19;6;138.3814;32.4256
20200505;5;20.0000;LowOrHighOfLast2Candles;-40;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10039.27500000;10039.27500000;0.00000000;22;7;179.4220;39.2750
20200505;5;20.0000;LowOrHighOfLast2Candles;-30;1.0000;0.000300;0.500000;3.500000;60;0.001000;7;20;1;10072.73488000;10072.73488000;0.00000000;24;8;156.9335;72.7349
